,CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
0,56773,Brook Trout,Salvelinus,fontinalis,22.0,101.8,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,3.86366,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
1,56773,Brook Trout,Salvelinus,fontinalis,22.0,101.8,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,6.22863,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
2,56774,Brook Trout,Salvelinus,fontinalis,26.8,178.7,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,2.59354,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
3,56774,Brook Trout,Salvelinus,fontinalis,26.8,178.7,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,2.02944,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
4,56776,Brook Trout,Salvelinus,fontinalis,27.7,182.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,1.37845,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
5,56777,Brook Trout,Salvelinus,fontinalis,26.5,167.6,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,1.87329,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
6,56777,Brook Trout,Salvelinus,fontinalis,26.5,167.6,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,9.30065,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
7,56779,Brook Trout,Salvelinus,fontinalis,26.8,203.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,8.83859,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
8,56779,Brook Trout,Salvelinus,fontinalis,26.8,203.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,17.83275,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
9,56780,Brook Trout,Salvelinus,fontinalis,29.7,247.2,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,14.06205,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
10,56780,Brook Trout,Salvelinus,fontinalis,29.7,247.2,M,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,27.80871,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
11,56781,Brook Trout,Salvelinus,fontinalis,32.4,318.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_MCCP,1.67194,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
12,56781,Brook Trout,Salvelinus,fontinalis,32.4,318.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.320078,-65.190325,NS,RWHA,Total_SCCP,10.6405,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
13,56782,Brook Trout,Salvelinus,fontinalis,27.8,231.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,1.25647,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
14,56782,Brook Trout,Salvelinus,fontinalis,27.8,231.1,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,4.47392,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
15,56784,Brook Trout,Salvelinus,fontinalis,30.0,319.0,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_MCCP,7.29947,,1,,Chlorinated Alkane,Medium Chain Chlorinated Paraffins (C14-17) Total,Total Medium Chain Chlorinated Paraffins (C14-17),NG/G wet,0.345,,EC-Basconcillo,
16,56784,Brook Trout,Salvelinus,fontinalis,30.0,319.0,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,10.5298,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
17,56785,Brook Trout,Salvelinus,fontinalis,33.0,405.8,F,ADS,1.0,2010-09-11,2010,Kejimkujik Lake,Kejimkujik Lake Basin,44.361306,-65.230333,NS,RWHA,Total_SCCP,16.57913,,1,,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,0.009,,EC-Basconcillo,
18,60799,Brook Trout,Salvelinus,fontinalis,39.0,591.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",94.6,,1,2018-04-03,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
19,60799,Brook Trout,Salvelinus,fontinalis,39.0,591.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5.0,BDL,1,2018-04-03,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
20,60800,Brook Trout,Salvelinus,fontinalis,32.0,235.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"13C10-1,5,5,6,6,10-hexachlorodecane",79.7,,1,2018-02-06,Chlorinated Alkane,"13C10-1,5,5,6,6,10-hexachlorodecane","13C10-1,5,5,6,6,10-hexachlorodecane",PCT,,,NLET,B_ChlorinatedAlkanes_ISO
21,60800,Brook Trout,Salvelinus,fontinalis,32.0,235.0,F,ADS,1.0,2013-09-30,2013,Kejimkujik Lake,Kejimkujik Lake Basin,44.40583,-65.22583,NS,WHA,"Chlorinated Alkanes, SC (C10-C13), Total",5.0,BDL,1,2018-02-06,Chlorinated Alkane,Short Chain Chlorinated Alkanes (C10-13) Total,Total Short Chain Chlorinated Alkanes (C10-13),NG/G wet,5.0,,NLET,B_ChlorinatedAlkanes_ISO
