CSP_No,Common_Name,Genus,Species,Total Length (cm),Total Weight (g),Sex_Code,Maturity_Code,Composite_Count,Collection_Date,Collection_Year,Waterbody,Station_Name,Basin/Site,Latitude,Longitude,Province/State,Tissue_Code,Parameter_Code,Value,Value_Flag,Rep,Measurement_Date,Parameter_Group,Master_Parameter_Name,Parameter_name,Unit_Code,LOD,MDL - typical,Laboratory,Method_Code
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,Aldrin,1.99,L,1,2023-11-15,Organochlorine,Aldrin,Aldrin,NG/G Wet,,0.399,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,alpha-BHC-ALET,1.99,L,1,2023-11-15,Organochlorine,alpha-BHC,alpha-BHC,NG/G Wet,0,6.65,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,ACH-ALET,4.88,,1,2023-11-15,Organochlorine,alpha-Chlordane,alpha-Chlordane,NG/G Wet,0,6.65,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,beta-BHC(s)-ALET,74.3,,1,2023-11-15,Organochlorine,beta-Endosulfan,beta-BHC (surrogate),NG/G Wet,0,,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,DLD-ALET,1.99,L,1,2023-11-15,Organochlorine,Dieldrin,Dieldrin,NG/G Wet,0,6.65,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,Endosulfan I,1.99,L,1,2023-11-15,Organochlorine,Endosulfan I,Endosulfan I,NG/G Wet,,2.29,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,Endosulfan II,3.98,L,1,2023-11-15,Organochlorine,Endosulfan II,Endosulfan II,NG/G Wet,,2.29,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,Endrin,2.98,L,1,2023-11-15,Organochlorine,Endrin,Endrin,NG/G Wet,,0.598,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,G-Chlordene(s)-ALET,84.5,,1,2023-11-15,Organochlorine,gamma Chlordene (surrogate),gamma Chlordene (surrogate),NG/G Wet,0,,ALET,M_OC_Pesticides
66188,Lake Trout,Salvelinus,namaycush,60,2296.1,F,ADS,1,2022-06-08,2022,Lake Huron,"Lake Huron, Goderich, Ontario",Southern Basin L Huron,43.75,-81.83333,ON,WHA,GBHC-ALET,1.99,L,1,2023-11-15,Organochlorine,gamma-BHC (Lindane),gamma-BHC (Lindane),NG/G Wet,0,6.65,ALET,M_OC_Pesticides
