mp_name,count
Dieldrin,17842
p-p'-DDE,17183
p-p'-DDT,17141
PCBs (as Arochlor 1254) Total,17116
Mirex,16385
p-p'-DDD,16011
Heptachlor epoxide,13421
Chlordane (alpha+gamma),12032
Hexabromobenzene (HBB),8890
Hexachlorobenzene (HCB),5381
alpha-BHC,5078
gamma-Chlordane,5078
gamma-HCH (Lindane),5069
alpha-Chlordane,4981
opDDT,3009
Toxaphene,722
beta-Endosulfan,574
PCB Total,574
Sum Chlordane related compounds,564
Sum DDT related compounds,564
Toxaphene Parlar 15,498
Toxaphene Parlar 21,498
Toxaphene Parlar 25,498
Toxaphene Parlar 26,498
Toxaphene Parlar 38,498
Toxaphene Parlar 39,498
Toxaphene Parlar 42,498
Toxaphene Parlar 44,498
Toxaphene Parlar 50,498
Toxaphene Parlar 51,498
Toxaphene Parlar 56,498
Toxaphene Parlar 58,498
Toxaphene Parlar 59,498
Toxaphene Parlar 62,498
Toxaphene Parlar 63,498
Toxaphene Parlar 69,498
gamma Chlordene (surrogate),434
gamma-BHC (Lindane),434
Short Chain Chlorinated Alkanes (C10-13) Total,403
Aldrin,362
Endrin,362
heptachlor,362
Toxaphene Parlar 31,320
Toxaphene Parlar 32,320
"13C10-1,5,5,6,6,10-hexachlorodecane",290
Toxaphene Parlar 11,281
Toxaphene Parlar 12,281
Toxaphene Parlar 40,281
Toxaphene Parlar 41,281
PCB28 surrogate,272
PCB52 surrogate,272
"1,2,3,4,6,7,8-heptachlorodioxin",263
"1,2,3,4,6,7,8-heptachlorofuran",263
"1,2,3,4,7,8,9-heptachlorofuran",263
"1,2,3,4,7,8-hexachlorodioxin",263
"1,2,3,4,7,8-hexachlorofuran",263
"1,2,3,6,7,8-hexachlorodioxin",263
"1,2,3,6,7,8-hexachlorofuran",263
"1,2,3,7,8,9-hexachlorodioxin",263
"1,2,3,7,8-pentachlorodioxin",263
"1,2,3,7,8-pentachlorofuran",263
"2,3,4,6,7,8-hexachlorofuran",263
"2,3,4,7,8-pentachlorofuran",263
"2,3,7,8-tetrachlorodioxin",263
"2,3,7,8-tetrachlorofuran",263
Octachlorodioxin,263
Octachlorofuran,263
PCB111 surrogate,247
PCB153 surrogate,247
PCB178 surrogate,247
Hepta-Dioxins Total,234
Hepta-Furans Total,234
Hexa-Dioxins Total,234
Hexa-Furans Total,234
Penta-Dioxins Total,234
Penta-Furans Total,234
Tetra-Dioxins Total,234
Tetra-Furans Total,234
Endosulfan I,222
Endosulfan II,222
Methoxychlor,222
o.p'-DDE,222
o-p'-DDD,222
trans-Nonachlor,222
"Toxaphene Parlar 40,41",217
"Toxaphene parlar 11,12",178
"Toxaphene Parlar 31,32",178
Medium Chain Chlorinated Paraffins (C14-17) Total,164
delta-BHC,150
Octachlorostyrene,150
beta-BHC,140
gamma-BHC,140
ppMethoxychlor,140
ppTDE,140
PCB (ECD) Total,140
PCB (MSD) Total,140
13C-HpCDD-Recovery,140
13C-HxCDD-Recovery,140
13C-O8CDD-Recovery,140
13C-PCDD-Recovery,140
13C-TCDD-Recovery,140
"1,2,3,7,8,9-hexachlorofuran",123
"2,3,7,8-TCDF (225)",94
"2,3,7,8-tetrachlorodioxin - Surrogate",80
Chlorinated alkane surrogate,80
"Long Chain Chlorinated Alkanes (C18-C20), Total",80
TEQ (WHO 2005) ND=0,52
TEQ (WHO 2005) ND=1/2DL,52
delta BHC surrogate,50
Mirex Surrogate,50
OCS surrogate,50
Pentachlorobenzene surrogate,50
p-p'-DDE surrogate,50
p-p'-DDT surrogate,50
TEQ (WHO 1998 FISH) ND=0,42
TEQ (WHO 1998 FISH) ND=1/2DL,42
"1,2,3,4,6,7,8-heptachlorodioxin - Surrogate",40
"1,2,3,4,6,7,8-heptachlorofuran - Surrogate",40
"1,2,3,4,7,8,9-heptachlorofuran - Surrogate",40
"1,2,3,4,7,8-hexachlorodioxin - Surrogate",40
"1,2,3,4,7,8-hexachlorofuran - Surrogate",40
"1,2,3,6,7,8-hexachlorodioxin - Surrogate",40
"1,2,3,6,7,8-hexachlorofuran - Surrogate",40
"1,2,3,7,8,9-hexachlorofuran - Surrogate",40
"1,2,3,7,8-pentachlorodioxin - Surrogate",40
"1,2,3,7,8-pentachlorofuran - Surrogate",40
"2,3,4,6,7,8-hexachlorofuran - Surrogate",40
"2,3,4,7,8-pentachlorofuran - Surrogate",40
"2,3,7,8-tetrachlorofuran - Surrogate",40
Octachlorodioxin - Surrogate,40
% Lipid,40
% Moisture,40
Sample Size,40
Hep-sed,39
Hex-sed,39
Toxaphene Deca Homologue,39
Toxaphene Hepta Homologue,39
Toxaphene Hexa Homologue,39
Toxaphene Nona Homologue,39
Toxaphene Octa Homologue,39
"Toxaphene Parlar 11,12",39
Toxaphene Total,39
Heptachlor Epoxide B,35
Captan,10
Chlorothalonil,10
cis-Nonachlor,10
Deltamethrin,10
Endosulfan sulfate,10
Endrin aldehyde,10
Endrin ketone,10
Heptachlor Epoxide A,10
Hexachlorobutadiene,10
Hexachlorocyclopentadiene,10
Oxychlordane,10
Pentachloroanisole,10
Pentachlorobenzene,10
Permethrin,10
