,mp_name,p_name
0,Chlordane (alpha+gamma),
1,Chlordane (alpha+gamma),
2,Chlordane (alpha+gamma),
3,Chlordane (alpha+gamma),
4,Chlordane (alpha+gamma),
5,Chlordane (alpha+gamma),
6,p-p'-DDE,
7,p-p'-DDE,
8,p-p'-DDE,
9,p-p'-DDE,
10,p-p'-DDE,
11,p-p'-DDE,
12,p-p'-DDT,
13,p-p'-DDT,
14,p-p'-DDT,
15,p-p'-DDT,
16,p-p'-DDT,
17,p-p'-DDT,
18,Dieldrin,
19,Dieldrin,
20,Dieldrin,
21,Dieldrin,
22,Dieldrin,
23,Dieldrin,
24,Hexabromobenzene (HBB),
25,Hexabromobenzene (HBB),
26,Hexabromobenzene (HBB),
27,Hexabromobenzene (HBB),
28,Hexabromobenzene (HBB),
29,Hexabromobenzene (HBB),
30,Heptachlor epoxide,
31,Heptachlor epoxide,
32,Heptachlor epoxide,
33,Heptachlor epoxide,
34,Heptachlor epoxide,
35,Heptachlor epoxide,
36,Mirex,
37,Mirex,
38,Mirex,
39,Mirex,
40,Mirex,
41,Mirex,
42,PCBs (as Arochlor 1254) Total,
43,PCBs (as Arochlor 1254) Total,
44,PCBs (as Arochlor 1254) Total,
45,PCBs (as Arochlor 1254) Total,
46,PCBs (as Arochlor 1254) Total,
47,PCBs (as Arochlor 1254) Total,
48,Chlordane (alpha+gamma),
49,Chlordane (alpha+gamma),
50,Chlordane (alpha+gamma),
51,Chlordane (alpha+gamma),
52,Chlordane (alpha+gamma),
53,Chlordane (alpha+gamma),
54,Chlordane (alpha+gamma),
55,Chlordane (alpha+gamma),
56,Chlordane (alpha+gamma),
57,Chlordane (alpha+gamma),
58,Chlordane (alpha+gamma),
59,Chlordane (alpha+gamma),
60,p-p'-DDE,
61,p-p'-DDE,
62,p-p'-DDE,
63,p-p'-DDE,
64,p-p'-DDE,
65,p-p'-DDE,
66,p-p'-DDE,
67,p-p'-DDE,
68,p-p'-DDE,
69,p-p'-DDE,
70,p-p'-DDE,
71,p-p'-DDE,
72,p-p'-DDT,
73,p-p'-DDT,
74,p-p'-DDT,
75,p-p'-DDT,
76,p-p'-DDT,
77,p-p'-DDT,
78,p-p'-DDT,
79,p-p'-DDT,
80,p-p'-DDT,
81,p-p'-DDT,
82,p-p'-DDT,
83,p-p'-DDT,
84,Dieldrin,
85,Dieldrin,
86,Dieldrin,
87,Dieldrin,
88,Dieldrin,
89,Dieldrin,
90,Dieldrin,
91,Dieldrin,
92,Dieldrin,
93,Dieldrin,
94,Dieldrin,
95,Dieldrin,
96,Hexabromobenzene (HBB),
97,Hexabromobenzene (HBB),
98,Hexabromobenzene (HBB),
99,Hexabromobenzene (HBB),
100,Hexabromobenzene (HBB),
101,Hexabromobenzene (HBB),
102,Hexabromobenzene (HBB),
103,Hexabromobenzene (HBB),
104,Hexabromobenzene (HBB),
105,Hexabromobenzene (HBB),
106,Hexabromobenzene (HBB),
107,Hexabromobenzene (HBB),
108,Heptachlor epoxide,
109,Heptachlor epoxide,
110,Heptachlor epoxide,
111,Heptachlor epoxide,
112,Heptachlor epoxide,
113,Heptachlor epoxide,
114,Heptachlor epoxide,
115,Heptachlor epoxide,
116,Heptachlor epoxide,
117,Heptachlor epoxide,
118,Heptachlor epoxide,
119,Heptachlor epoxide,
120,Mirex,
121,Mirex,
122,Mirex,
123,Mirex,
124,Mirex,
125,Mirex,
126,Mirex,
127,Mirex,
128,Mirex,
129,Mirex,
130,Mirex,
131,Mirex,
132,PCBs (as Arochlor 1254) Total,
133,PCBs (as Arochlor 1254) Total,
134,PCBs (as Arochlor 1254) Total,
135,PCBs (as Arochlor 1254) Total,
136,PCBs (as Arochlor 1254) Total,
137,PCBs (as Arochlor 1254) Total,
138,PCBs (as Arochlor 1254) Total,
139,PCBs (as Arochlor 1254) Total,
140,PCBs (as Arochlor 1254) Total,
141,PCBs (as Arochlor 1254) Total,
142,PCBs (as Arochlor 1254) Total,
143,PCBs (as Arochlor 1254) Total,
144,Chlordane (alpha+gamma),
145,Chlordane (alpha+gamma),
146,Chlordane (alpha+gamma),
147,Chlordane (alpha+gamma),
148,Chlordane (alpha+gamma),
149,Chlordane (alpha+gamma),
150,Chlordane (alpha+gamma),
151,Chlordane (alpha+gamma),
152,Chlordane (alpha+gamma),
153,Chlordane (alpha+gamma),
154,Chlordane (alpha+gamma),
155,Chlordane (alpha+gamma),
156,p-p'-DDE,
157,p-p'-DDE,
158,p-p'-DDE,
159,p-p'-DDE,
160,p-p'-DDE,
161,p-p'-DDE,
162,p-p'-DDE,
163,p-p'-DDE,
164,p-p'-DDE,
165,p-p'-DDE,
166,p-p'-DDE,
167,p-p'-DDE,
168,p-p'-DDT,
169,p-p'-DDT,
170,p-p'-DDT,
171,p-p'-DDT,
172,p-p'-DDT,
173,p-p'-DDT,
174,p-p'-DDT,
175,p-p'-DDT,
176,p-p'-DDT,
177,p-p'-DDT,
178,p-p'-DDT,
179,p-p'-DDT,
180,Dieldrin,
181,Dieldrin,
182,Dieldrin,
183,Dieldrin,
184,Dieldrin,
185,Dieldrin,
186,Dieldrin,
187,Dieldrin,
188,Dieldrin,
189,Dieldrin,
190,Dieldrin,
191,Dieldrin,
192,Hexabromobenzene (HBB),
193,Hexabromobenzene (HBB),
194,Hexabromobenzene (HBB),
195,Hexabromobenzene (HBB),
196,Hexabromobenzene (HBB),
197,Hexabromobenzene (HBB),
198,Hexabromobenzene (HBB),
199,Hexabromobenzene (HBB),
200,Hexabromobenzene (HBB),
201,Hexabromobenzene (HBB),
202,Hexabromobenzene (HBB),
203,Hexabromobenzene (HBB),
204,Heptachlor epoxide,
205,Heptachlor epoxide,
206,Heptachlor epoxide,
207,Heptachlor epoxide,
208,Heptachlor epoxide,
209,Heptachlor epoxide,
210,Heptachlor epoxide,
211,Heptachlor epoxide,
212,Heptachlor epoxide,
213,Heptachlor epoxide,
214,Heptachlor epoxide,
215,Heptachlor epoxide,
216,Mirex,
217,Mirex,
218,Mirex,
219,Mirex,
220,Mirex,
221,Mirex,
222,Mirex,
223,Mirex,
224,Mirex,
225,Mirex,
226,Mirex,
227,Mirex,
228,PCBs (as Arochlor 1254) Total,
229,PCBs (as Arochlor 1254) Total,
230,PCBs (as Arochlor 1254) Total,
231,PCBs (as Arochlor 1254) Total,
232,PCBs (as Arochlor 1254) Total,
233,PCBs (as Arochlor 1254) Total,
234,PCBs (as Arochlor 1254) Total,
235,PCBs (as Arochlor 1254) Total,
236,PCBs (as Arochlor 1254) Total,
237,PCBs (as Arochlor 1254) Total,
238,PCBs (as Arochlor 1254) Total,
239,PCBs (as Arochlor 1254) Total,
240,Chlordane (alpha+gamma),
241,Chlordane (alpha+gamma),
242,Chlordane (alpha+gamma),
243,Chlordane (alpha+gamma),
244,Chlordane (alpha+gamma),
245,Chlordane (alpha+gamma),
246,Chlordane (alpha+gamma),
247,Chlordane (alpha+gamma),
248,Chlordane (alpha+gamma),
249,Chlordane (alpha+gamma),
250,Chlordane (alpha+gamma),
251,Chlordane (alpha+gamma),
252,Chlordane (alpha+gamma),
253,p-p'-DDE,
254,p-p'-DDE,
255,p-p'-DDE,
256,p-p'-DDE,
257,p-p'-DDE,
258,p-p'-DDE,
259,p-p'-DDE,
260,p-p'-DDE,
261,p-p'-DDE,
262,p-p'-DDE,
263,p-p'-DDE,
264,p-p'-DDE,
265,p-p'-DDE,
266,p-p'-DDT,
267,p-p'-DDT,
268,p-p'-DDT,
269,p-p'-DDT,
270,p-p'-DDT,
271,p-p'-DDT,
272,p-p'-DDT,
273,p-p'-DDT,
274,p-p'-DDT,
275,p-p'-DDT,
276,p-p'-DDT,
277,p-p'-DDT,
278,p-p'-DDT,
279,Dieldrin,
280,Dieldrin,
281,Dieldrin,
282,Dieldrin,
283,Dieldrin,
284,Dieldrin,
